"program","program","sku","name","color_presentation","price","pdp_url","short_description","description","pdp_url","size","fit_presentation"
"Stretch Wool Dress Pants","Stretch Wool Dress Pants","15687-BK511-28X32","Stretch Wool Dress Pants","Black Slub",128,"https://bonobos.com/products/stretch-wool-dress-pants","Versatile four-season wool pants with a hint of stretch.","What happens when first-class comfort meets a world-class fit? Something incredible. These versatile four-season wool pants have a hint of stretch for comfort while you move, and they're designed to bounce back from whatever comes your way. Whether it's a long flight overseas, or simply a busy week at the office, the Stretch Wool Dress Pant will always stay in top form. Simply put, it is a wardrobe essential—the versatile, all-purpose dress pant that can recover and perform after just about anything.","https://bonobos.com/products/stretch-wool-dress-pants","28X32","Slim"
"DG - Basic","DG - Basic","21836-BLB72-16.5X33","Daily Grind Wrinkle Free Dress Shirt","Blue Classic Check",98,"https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt","Soft, tailored cotton resistant to wrinkles & machine washable.","Dressing for work isn't rocket science. It's really about looking your best without spending a ton of time doing so. Which is why the Daily Grinds come in so handy. Simply stated, these dress shirts are crafted and tailored never to wrinkle. Utilizing wrinkle-free technology, they can be washed and worn with minimal ironing, and they will maintain their rich color and crisp appearance. You won’t just be looking great and worrying less, you’ll be saving time, money, and energy over the long life of your Daily Grind shirts. And did we mention looking great? Oh. We did.","https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt","16.5X33","Tailored"
"Travel Jeans","Travel Jeans","20065-BLW51-40X36","Travel Jeans","Portland Navy",98,"https://bonobos.com/products/travel-jeans","Colorful denim with stretch & a natural resistance to wrinkles.","When you're traveling, bag space is at a premium. Which means you need a pair of pants that can handle anything. That's precisely why we created Travel Jeans. They have a hint of stretch for comfort, they're naturally resistant to wrinkles, and they can do pretty much anything chinos can. But, yes, they are still jeans for all those denim lovers out there.","https://bonobos.com/products/travel-jeans","40X36","Slim"
"Tuxedo Core","Tuxedo Core","20733-BK005-29X37UH","Capstone Italian Wool Tuxedo Pant","Tuxedo Black",250,"https://bonobos.com/products/capstone-italian-wool-tuxedo-pant",,"There's something to be said for a simple, classic suit. But there's something to be celebrated in a sartorial masterpiece. Crafted exclusively from the finest fabrics in the world, the Capstone is the pinnacle of the Bonobos tailored line, a showpiece suit designed for the connoisseur. Great structures—and great wardrobes—start with a strong foundation. But when you arrive at the summit, the Capstone brings everything together and makes it complete.","https://bonobos.com/products/capstone-italian-wool-tuxedo-pant","29X37UH","Tailored"
"Stretch Washed Chinos","Stretch Washed Chinos","17408-KH110-38X32","Stretch Washed Chinos","Chestnuts",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","38X32","Athletic"
"Stretch Washed Chinos","Stretch Washed Chinos","14851-GY003-31X28","Stretch Washed Chinos","Grey Dogs",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","31X28","Straight"
"Stretch Washed Chinos No Liner","Stretch Washed Chinos No Liner","18770-KH087-32X30","Stretch Washed Chinos","The Khakis",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","32X30","Straight"
"Stretch Washed Chinos No Liner","Stretch Washed Chinos No Liner","18772-GY003-30X30","Stretch Washed Chinos","Grey Dogs",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","30X30","Tailored"
"Stretch Washed Chinos","Stretch Washed Chinos","15175-BMC46-35X30","Stretch Washed Chinos","Aquaticas",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","35X30","Tailored"
"Jetsetter Core Suit Pants","Jetsetter Core Suit Pants","15401-BL895-31X37UH","Jetsetter Stretch Wool Suit Pant","Navy",200,"https://bonobos.com/products/jetsetter-stretch-wool-suit-pant",,"What happens when first-class comfort meets a world-class fit? Something incredible. Something we like to call ""The Jetsetter."" It's a versatile four-season wool suit with a hint of stretch, and a signature passport pocket inside the jacket. It will keep its razor-sharp silhouette whenever you need it, and bounce back from whatever comes your way. At this price, it is an ideal ""first suit"" for those just starting out, but it's equally appropriate for the experienced sartorialist. Whether it's a long flight overseas, or simply a busy week at the office, the Jetsetter will always stay in top form. Simply put, it is a wardrobe essential—the versatile, all-purpose suit that can recover and perform after just about anything.","https://bonobos.com/products/jetsetter-stretch-wool-suit-pant","31X37UH","Standard"
