"program","program","sku","name","color_presentation","price","pdp_url","short_description","description","pdp_url","size","fit_presentation"
"Premium Stretch Jeans","Premium Stretch Jeans","23083-BMB90-34X30","Premium Stretch Jeans","Minton Wash",128,"https://bonobos.com/products/premium-stretch-jeans","Innovative & resilient stretch denim that keeps a sharp silhouette.","Innovative & resilient stretch denim that keeps a sharp silhouette.","https://bonobos.com/products/premium-stretch-jeans","34X30","Tailored"
"Suede Belts","Suede Belts","19507-GY085-42","Suede Belt","Grey",88,"https://bonobos.com/products/suede-belt",,,"https://bonobos.com/products/suede-belt","42",
"Jetsetter Cotton","Jetsetter Cotton","18015-BLP98-40R","Jetsetter Stretch Italian Cotton Suit Jacket","Light Navy",350,"https://bonobos.com/products/jetsetter-stretch-italian-cotton-suit-jacket",,,"https://bonobos.com/products/jetsetter-stretch-italian-cotton-suit-jacket","40R","Slim"
"Jetsetter Fashion","Jetsetter Fashion","20731-BLS98-40R","Jetsetter Stretch Italian Wool Suit Jacket","Brilliant Navy",500,"https://bonobos.com/products/jetsetter-stretch-italian-wool-suit-jacket",,,"https://bonobos.com/products/jetsetter-stretch-italian-wool-suit-jacket","40R","Standard"
"The Core Short","The Core Short","17645-BLP13-38","Core Shorts","Navy",58,"https://bonobos.com/products/the-core-short","Moisture-wicking stretch fabric with built-in liner & multiple pockets.","Moisture-wicking stretch fabric with built-in liner & multiple pockets.","https://bonobos.com/products/the-core-short","38",
"Performance Wool","Performance Wool","22831-BMA31-42X30","Performance Wool Dress Pants","Blue Yarn Dye",228,"https://bonobos.com/products/performance-wool-dress-pants-pants00212","Handsome & tailored Italian wool that's water & stain repellent.","Handsome & tailored Italian wool that's water & stain repellent.","https://bonobos.com/products/performance-wool-dress-pants-pants00212","42X30","Straight"
"The Highland Golf Pant","The Highland Golf Pant","17896-BK163-36X32","Highland Golf Pants","Black",88,"https://bonobos.com/products/highland-golf-pants-golfg00091",,,"https://bonobos.com/products/highland-golf-pants-golfg00091","36X32","Slim"
"Pattern Highland Golf Pant","Pattern Highland Golf Pant","17895-BMD02-36X32","Highland Golf Pants","Blue Minicheck",88,"https://bonobos.com/products/highland-golf-pants-golfg00091",,,"https://bonobos.com/products/highland-golf-pants-golfg00091","36X32","Straight"
"The Lightweight 5-Pocket Golf Pant","The Lightweight 5-Pocket Golf Pant","23292-GYS24-30X30","Lightweight 5-Pocket Golf Pants","Heather Charcoal",98,"https://bonobos.com/products/lightweight-5-pocket-golf-pants",,,"https://bonobos.com/products/lightweight-5-pocket-golf-pants","30X30","Slim"
"The Lightweight Golf Short","The Lightweight Golf Short","23297-BMD09-32","Lightweight Golf Short","Heather Navy",78,"https://bonobos.com/products/lightweight-5-pocket-golf-short",,,"https://bonobos.com/products/lightweight-5-pocket-golf-short","32",
"The Lightweight 5-Pocket Golf Pant","The Lightweight 5-Pocket Golf Pant","23292-GYS24-36X30","Lightweight 5-Pocket Golf Pants","Heather Charcoal",98,"https://bonobos.com/products/lightweight-5-pocket-golf-pants",,,"https://bonobos.com/products/lightweight-5-pocket-golf-pants","36X30","Slim"
"Travel Jeans","Travel Jeans","20065-KH183-35X32","Travel Jeans","Richmond Khaki",98,"https://bonobos.com/products/travel-jeans","Colorful denim with stretch & a natural resistance to wrinkles.","When you're traveling, bag space is at a premium. Which means you need a pair of pants that can handle anything. That's precisely why we created Travel Jeans. They have a hint of stretch for comfort, they're naturally resistant to wrinkles, and they can do pretty much anything chinos can. But, yes, they are still jeans for all those denim lovers out there.","https://bonobos.com/products/travel-jeans","35X32","Slim"
"Travel Jeans","Travel Jeans","20068-BLW51-35X30","Travel Jeans","Portland Navy",98,"https://bonobos.com/products/travel-jeans","Colorful denim with stretch & a natural resistance to wrinkles.","When you're traveling, bag space is at a premium. Which means you need a pair of pants that can handle anything. That's precisely why we created Travel Jeans. They have a hint of stretch for comfort, they're naturally resistant to wrinkles, and they can do pretty much anything chinos can. But, yes, they are still jeans for all those denim lovers out there.","https://bonobos.com/products/travel-jeans","35X30","Athletic"
"Travel Jeans","Travel Jeans","20066-BMB46-31X30","Travel Jeans","Chesapeake Blue",78,"https://bonobos.com/products/travel-jeans","Colorful denim with stretch & a natural resistance to wrinkles.","When you're traveling, bag space is at a premium. Which means you need a pair of pants that can handle anything. That's precisely why we created Travel Jeans. They have a hint of stretch for comfort, they're naturally resistant to wrinkles, and they can do pretty much anything chinos can. But, yes, they are still jeans for all those denim lovers out there.","https://bonobos.com/products/travel-jeans","31X30","Straight"
"Weekday Warriors","Weekday Warriors","12356-BR001-40X34","Weekday Warrior Dress Pants","Thursday Brown",48,"https://bonobos.com/products/weekday-warrior-dress-pants","Wrinkle-resistant, easy-care cotton that simplifies your work day.","Let's be honest about this: nobody likes getting dressed for work. Picking out the pants, the unwelcome wrinkles, the clumsy ironing board—who needs it? Certainly not us. The solution, we would posit, is the Weekday Warriors. Made from non-iron fabric, available in a range of office-friendly colors, these great-fitting, hassle-free cotton dress pants take the pain out of workdays. So relax. Enjoy that coffee. Savor that sports page. And say goodbye to ironing forever.","https://bonobos.com/products/weekday-warrior-dress-pants","40X34","Slim"
"Core Unconstructed Blazer","Core Unconstructed Blazer","16797-BLD23-44L","Unconstructed Italian Wool Blazer","Bright Navy",400,"https://bonobos.com/products/unconstructed-italian-wool-blazer",,"Head to a piazza in any major Italian city, and you’re likely to encounter “sprezzatura,” the art of effortless style. That same sense of casual elegance was the inspiration behind this season’s unconstructed blazers. Crafted from Italian fabrics, and featuring a more relaxed, “unconstructed” design, they’re the type of blazers you can throw on over anything for an instant dose of casual cool – which, we’ve been told, goes perfectly with a shot of espresso.","https://bonobos.com/products/unconstructed-italian-wool-blazer","44L","Slim"
"Stretch Washed Chinos","Stretch Washed Chinos","15175-GY437-34X34","Stretch Washed Chinos","Graphites",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","34X34","Tailored"
"Stretch Washed Chinos","Stretch Washed Chinos","14870-GY431-36X30","Stretch Washed Chinos","Asphalts",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","36X30","Slim"
"Stretch Washed Chinos","Stretch Washed Chinos","17408-GY431-29X32","Stretch Washed Chinos","Asphalts",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","29X32","Athletic"
"Stretch Washed Chinos","Stretch Washed Chinos","14870-GY003-34X28","Stretch Washed Chinos","Grey Dogs",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","34X28","Slim"
"Stretch Washed Chinos No Liner","Stretch Washed Chinos No Liner","18772-GY003-33X30","Stretch Washed Chinos","Grey Dogs",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","33X30","Tailored"
"Stretch Washed Chinos","Stretch Washed Chinos","14851-BLQ53-33X32","Stretch Washed Chinos","After Midnights",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","33X32","Straight"
"Stretch Washed Chinos No Liner","Stretch Washed Chinos No Liner","18771-GR998-30X28","Stretch Washed Chinos","Congos",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","30X28","Slim"
"Jetsetter Knit Blazer","Jetsetter Knit Blazer","22892-BNB99-40S","Italian Knit Blazer","Rio Navy Plaid",350,"https://bonobos.com/products/unconstructed-italian-knit-blazer",,"We sourced knit cotton fabric from Italy to create a sharp and functional four-season blazer. It's unconstructed tailoring makes it perfect for spring and summer, but it still has enough weight and texture to work in the colder months as well. Wear it to work, or take it to Milan—it's your call.","https://bonobos.com/products/unconstructed-italian-knit-blazer","40S","Slim"
"Tuxedo Shirt","Tuxedo Shirt","14911-WT216-16.5X34","Tuxedo Shirt","White Pique Bib",168,"https://bonobos.com/products/tuxedo-shirt","Luxe Italian fabric. Impeccable details. Cut to an elegant fit.","We've always felt that you shouldn't have to go to a tailor for a great dress shirt, and for us, the Americano is proof. The most luxurious dress shirt we offer, it starts with premium cotton fabric from one of Italy's most celebrated mills. We cut and stitch the cloth to a crisp, elegant fit, and finish it with mother-of-pearl-buttons, double knife pleats, and a split-back yoke. The Americano will pair wonderfully with your favorite suit and tie, but it can go just as well with a great pair of selvage denim or chinos.","https://bonobos.com/products/tuxedo-shirt","16.5X34","Slim"
"Travel Jeans","Travel Jeans","20065-KH183-38X32","Travel Jeans","Richmond Khaki",98,"https://bonobos.com/products/travel-jeans","Colorful denim with stretch & a natural resistance to wrinkles.","When you're traveling, bag space is at a premium. Which means you need a pair of pants that can handle anything. That's precisely why we created Travel Jeans. They have a hint of stretch for comfort, they're naturally resistant to wrinkles, and they can do pretty much anything chinos can. But, yes, they are still jeans for all those denim lovers out there.","https://bonobos.com/products/travel-jeans","38X32","Slim"
"The Blue Jean","The Blue Jean","16066-BL969-32X32","The Blue Jean","Saratoga Dark Rinse",128,"https://bonobos.com/products/blue-jean","Perfectly broken-in with a hint of stretch. Made for everyday wear.","We all have that favorite pair of jeans. That treasured, perfectly broken-in pair of denim that we wear a little more than we should. And that's exactly what we set out to recreate. Made from premium denim with a curved waistband and a hint of comfortable stretch, these aren't just a pair of blue jeans. They're THE Blue Jean, and once you put them on, you won't want to take them off anytime soon.","https://bonobos.com/products/blue-jean","32X32","Straight"
"The Blue Jean","The Blue Jean","19514-BMC88-34X34","The Blue Jean","Lake Winnebago Light Wash",98,"https://bonobos.com/products/blue-jean","Perfectly broken-in with a hint of stretch. Made for everyday wear.","We all have that favorite pair of jeans. That treasured, perfectly broken-in pair of denim that we wear a little more than we should. And that's exactly what we set out to recreate. Made from premium denim with a curved waistband and a hint of comfortable stretch, these aren't just a pair of blue jeans. They're THE Blue Jean, and once you put them on, you won't want to take them off anytime soon.","https://bonobos.com/products/blue-jean","34X34","Athletic"
"Washed Chinos","Washed Chinos","11598-GR998-28X32","Washed Chinos","Congos",48,"https://bonobos.com/products/washed-chinos","Our original better-fitting chinos in a range of colors.","The pants Bonobos was built on, we designed these chinos to fit great and to do it all. Their curved waistband conforms to the natural shape of your waist, and their trimmer cut makes for a more flattering silhouette. You can dress them up, you can dress them down, and damn, do they come in some amazing colors.","https://bonobos.com/products/washed-chinos","28X32","Straight"
"Tuxedo Fashion Suit Pants","Tuxedo Fashion Suit Pants","22394-GYR54-38X37UH","Capstone Italian Wool Tuxedo Pant","Jude Solid Grey",350,"https://bonobos.com/products/capstone-italian-wool-tuxedo-pant",,"There's something to be said for a simple, classic suit. But there's something to be celebrated in a sartorial masterpiece. Crafted exclusively from the finest fabrics in the world, the Capstone is the pinnacle of the Bonobos tailored line, a showpiece suit designed for the connoisseur. Great structures—and great wardrobes—start with a strong foundation. But when you arrive at the summit, the Capstone brings everything together and makes it complete.","https://bonobos.com/products/capstone-italian-wool-tuxedo-pant","38X37UH","Slim"
"Tuxedo Core","Tuxedo Core","13936-BK005-40L","Capstone Italian Wool Tuxedo Jacket","Black Peak Lapel",650,"https://bonobos.com/products/capstone-italian-wool-tuxedo-jacket",,"There's something to be said for a simple, classic suit. But there's something to be celebrated in a sartorial masterpiece. Crafted exclusively from the finest fabrics in the world, the Capstone is the pinnacle of the Bonobos tailored line, a showpiece suit designed for the connoisseur. Great structures—and great wardrobes—start with a strong foundation. But when you arrive at the summit, the Capstone brings everything together and makes it complete.","https://bonobos.com/products/capstone-italian-wool-tuxedo-jacket","40L","Slim"
"Foundation Core","Foundation Core","11808-BL012-28","Foundation Italian Wool Suit Pants","Navy",100,"https://bonobos.com/products/foundation-italian-wool-suit-pant","100% Italian Marzotto wool in an all-season weight.","Finding a classic, expertly-made suit is tough—we know, we've been there. Which is exactly why we decided to make our Foundation suit. Crafted from world-class fabrics, and available in two impeccable fits, it is that dependable, great-fitting suit you can go back to again and again, whether it's for work, for play, or some stylish combination of the two. And don't be afraid to use the jacket and pants as separates—we do it all the time.","https://bonobos.com/products/foundation-italian-wool-suit-pant","28","Straight"
"Foundation Core","Foundation Core","14597-BK181-40","Foundation Italian Wool Suit Pants","Black",100,"https://bonobos.com/products/foundation-italian-wool-suit-pant","100% Italian Marzotto wool in an all-season weight.","Finding a classic, expertly-made suit is tough—we know, we've been there. Which is exactly why we decided to make our Foundation suit. Crafted from world-class fabrics, and available in two impeccable fits, it is that dependable, great-fitting suit you can go back to again and again, whether it's for work, for play, or some stylish combination of the two. And don't be afraid to use the jacket and pants as separates—we do it all the time.","https://bonobos.com/products/foundation-italian-wool-suit-pant","40","Straight"
"Stretch Washed Chinos","Stretch Washed Chinos","15175-RD629-33X32","Stretch Washed Chinos","Bonfires",48,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","33X32","Tailored"
"Stretch Washed Chinos","Stretch Washed Chinos","14851-PR482-34X36","Stretch Washed Chinos","Winter Wines",48,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","34X36","Straight"
"Stretch Washed Chinos No Liner","Stretch Washed Chinos No Liner","18772-GR998-35X28","Stretch Washed Chinos","Congos",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","35X28","Tailored"
"Stretch Wool Dress Pants","Stretch Wool Dress Pants","15686-BK004-33X34","Stretch Wool Dress Pants","Black",198,"https://bonobos.com/products/stretch-wool-dress-pants","Versatile four-season wool pants with a hint of stretch.","What happens when first-class comfort meets a world-class fit? Something incredible. These versatile four-season wool pants have a hint of stretch for comfort while you move, and they're designed to bounce back from whatever comes your way. Whether it's a long flight overseas, or simply a busy week at the office, the Stretch Wool Dress Pant will always stay in top form. Simply put, it is a wardrobe essential—the versatile, all-purpose dress pant that can recover and perform after just about anything.","https://bonobos.com/products/stretch-wool-dress-pants","33X34","Straight"
"Travel Jeans","Travel Jeans","20067-BMB46-35X34","Travel Jeans","Chesapeake Blue",78,"https://bonobos.com/products/travel-jeans","Colorful denim with stretch & a natural resistance to wrinkles.","When you're traveling, bag space is at a premium. Which means you need a pair of pants that can handle anything. That's precisely why we created Travel Jeans. They have a hint of stretch for comfort, they're naturally resistant to wrinkles, and they can do pretty much anything chinos can. But, yes, they are still jeans for all those denim lovers out there.","https://bonobos.com/products/travel-jeans","35X34","Tailored"
"The Blue Jean","The Blue Jean","19511-BL969-32X36","The Blue Jean","Saratoga Dark Rinse",98,"https://bonobos.com/products/blue-jean","Perfectly broken-in with a hint of stretch. Made for everyday wear.","We all have that favorite pair of jeans. That treasured, perfectly broken-in pair of denim that we wear a little more than we should. And that's exactly what we set out to recreate. Made from premium denim with a curved waistband and a hint of comfortable stretch, these aren't just a pair of blue jeans. They're THE Blue Jean, and once you put them on, you won't want to take them off anytime soon.","https://bonobos.com/products/blue-jean","32X36","Slim"
"The Blue Jean","The Blue Jean","19513-BMC89-35X30","The Blue Jean","Atalanta Medium Wash",98,"https://bonobos.com/products/blue-jean","Perfectly broken-in with a hint of stretch. Made for everyday wear.","We all have that favorite pair of jeans. That treasured, perfectly broken-in pair of denim that we wear a little more than we should. And that's exactly what we set out to recreate. Made from premium denim with a curved waistband and a hint of comfortable stretch, these aren't just a pair of blue jeans. They're THE Blue Jean, and once you put them on, you won't want to take them off anytime soon.","https://bonobos.com/products/blue-jean","35X30","Tailored"
"Core Unconstructed Blazer","Core Unconstructed Blazer","17308-BLN89-46L","Unconstructed Italian Wool Blazer","Navy",400,"https://bonobos.com/products/unconstructed-italian-wool-blazer",,"Head to a piazza in any major Italian city, and you’re likely to encounter “sprezzatura,” the art of effortless style. That same sense of casual elegance was the inspiration behind this season’s unconstructed blazers. Crafted from Italian fabrics, and featuring a more relaxed, “unconstructed” design, they’re the type of blazers you can throw on over anything for an instant dose of casual cool – which, we’ve been told, goes perfectly with a shot of espresso.","https://bonobos.com/products/unconstructed-italian-wool-blazer","46L","Slim"
"Core Unconstructed Blazer","Core Unconstructed Blazer","20640-BK394-42S","Unconstructed Italian Wool Blazer","Black",400,"https://bonobos.com/products/unconstructed-italian-wool-blazer",,"Head to a piazza in any major Italian city, and you’re likely to encounter “sprezzatura,” the art of effortless style. That same sense of casual elegance was the inspiration behind this season’s unconstructed blazers. Crafted from Italian fabrics, and featuring a more relaxed, “unconstructed” design, they’re the type of blazers you can throw on over anything for an instant dose of casual cool – which, we’ve been told, goes perfectly with a shot of espresso.","https://bonobos.com/products/unconstructed-italian-wool-blazer","42S","Athletic"
"Stretch Washed Chinos No Liner","Stretch Washed Chinos No Liner","18772-KH110-40X32","Stretch Washed Chinos","Chestnuts",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","40X32","Tailored"
"Stretch Washed Chinos","Stretch Washed Chinos","17408-GY431-32X28","Stretch Washed Chinos","Asphalts",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","32X28","Athletic"
"Stretch Washed Chinos","Stretch Washed Chinos","14870-BLQ53-29X32","Stretch Washed Chinos","After Midnights",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","29X32","Slim"
"Stretch Washed Chinos No Liner","Stretch Washed Chinos No Liner","18773-GY431-33X30","Stretch Washed Chinos","Asphalts",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","33X30","Athletic"
"Tuxedo Shirt","Tuxedo Shirt","15738-WT248-16.5X33","Tuxedo Shirt","White Pique",168,"https://bonobos.com/products/tuxedo-shirt","Luxe Italian fabric. Impeccable details. Cut to an elegant fit.","We've always felt that you shouldn't have to go to a tailor for a great dress shirt, and for us, the Americano is proof. The most luxurious dress shirt we offer, it starts with premium cotton fabric from one of Italy's most celebrated mills. We cut and stitch the cloth to a crisp, elegant fit, and finish it with mother-of-pearl-buttons, double knife pleats, and a split-back yoke. The Americano will pair wonderfully with your favorite suit and tie, but it can go just as well with a great pair of selvage denim or chinos.","https://bonobos.com/products/tuxedo-shirt","16.5X33","Standard"
"Jetsetter Fashion","Jetsetter Fashion","22933-BMC63-28X37UH","Jetsetter Stretch Wool Suit Pant","Guillermo Navy Check",200,"https://bonobos.com/products/jetsetter-stretch-wool-suit-pant",,"What happens when first-class comfort meets a world-class fit? Something incredible. Something we like to call ""The Jetsetter."" It's a versatile four-season wool suit with a hint of stretch, and a signature passport pocket inside the jacket. It will keep its razor-sharp silhouette whenever you need it, and bounce back from whatever comes your way. At this price, it is an ideal ""first suit"" for those just starting out, but it's equally appropriate for the experienced sartorialist. Whether it's a long flight overseas, or simply a busy week at the office, the Jetsetter will always stay in top form. Simply put, it is a wardrobe essential—the versatile, all-purpose suit that can recover and perform after just about anything.","https://bonobos.com/products/jetsetter-stretch-wool-suit-pant","28X37UH","Slim"
"Travel Jeans","Travel Jeans","20068-GYM60-32X32","Travel Jeans","Austin Asphalt",98,"https://bonobos.com/products/travel-jeans","Colorful denim with stretch & a natural resistance to wrinkles.","When you're traveling, bag space is at a premium. Which means you need a pair of pants that can handle anything. That's precisely why we created Travel Jeans. They have a hint of stretch for comfort, they're naturally resistant to wrinkles, and they can do pretty much anything chinos can. But, yes, they are still jeans for all those denim lovers out there.","https://bonobos.com/products/travel-jeans","32X32","Athletic"
"Travel Jeans","Travel Jeans","20066-KH183-40X32","Travel Jeans","Richmond Khaki",98,"https://bonobos.com/products/travel-jeans","Colorful denim with stretch & a natural resistance to wrinkles.","When you're traveling, bag space is at a premium. Which means you need a pair of pants that can handle anything. That's precisely why we created Travel Jeans. They have a hint of stretch for comfort, they're naturally resistant to wrinkles, and they can do pretty much anything chinos can. But, yes, they are still jeans for all those denim lovers out there.","https://bonobos.com/products/travel-jeans","40X32","Straight"
"Travel Jeans","Travel Jeans","20068-BMB46-33X34","Travel Jeans","Chesapeake Blue",78,"https://bonobos.com/products/travel-jeans","Colorful denim with stretch & a natural resistance to wrinkles.","When you're traveling, bag space is at a premium. Which means you need a pair of pants that can handle anything. That's precisely why we created Travel Jeans. They have a hint of stretch for comfort, they're naturally resistant to wrinkles, and they can do pretty much anything chinos can. But, yes, they are still jeans for all those denim lovers out there.","https://bonobos.com/products/travel-jeans","33X34","Athletic"
"Travel Jeans","Travel Jeans","20067-BK449-32X28","Travel Jeans","Manhattan Midnight",98,"https://bonobos.com/products/travel-jeans","Colorful denim with stretch & a natural resistance to wrinkles.","When you're traveling, bag space is at a premium. Which means you need a pair of pants that can handle anything. That's precisely why we created Travel Jeans. They have a hint of stretch for comfort, they're naturally resistant to wrinkles, and they can do pretty much anything chinos can. But, yes, they are still jeans for all those denim lovers out there.","https://bonobos.com/products/travel-jeans","32X28","Tailored"
"The Blue Jean","The Blue Jean","19511-BL969-30X32","The Blue Jean","Saratoga Dark Rinse",98,"https://bonobos.com/products/blue-jean","Perfectly broken-in with a hint of stretch. Made for everyday wear.","We all have that favorite pair of jeans. That treasured, perfectly broken-in pair of denim that we wear a little more than we should. And that's exactly what we set out to recreate. Made from premium denim with a curved waistband and a hint of comfortable stretch, these aren't just a pair of blue jeans. They're THE Blue Jean, and once you put them on, you won't want to take them off anytime soon.","https://bonobos.com/products/blue-jean","30X32","Slim"
"Fashion Unconstructed Blazer","Fashion Unconstructed Blazer","17309-BR446-46L","Unconstructed Italian Wool Blazer","Brown",280,"https://bonobos.com/products/unconstructed-italian-wool-blazer",,"Head to a piazza in any major Italian city, and you’re likely to encounter “sprezzatura,” the art of effortless style. That same sense of casual elegance was the inspiration behind this season’s unconstructed blazers. Crafted from Italian fabrics, and featuring a more relaxed, “unconstructed” design, they’re the type of blazers you can throw on over anything for an instant dose of casual cool – which, we’ve been told, goes perfectly with a shot of espresso.","https://bonobos.com/products/unconstructed-italian-wool-blazer","46L","Standard"
"Foundation Chambray","Foundation Chambray","15205-KH178-42R","Foundation Chambray Suit Jacket","Textured Sand",350,"https://bonobos.com/products/the-foundation-chambray-suit-jacket",,"Finding a classic, expertly-made suit is tough—we know, we've been there. Which is exactly why we decided to make our Foundation suit. Crafted from world-class fabrics, and available in two impeccable fits, it is that dependable, great-fitting suit you can go back to again and again, whether it's for work, for play, or some stylish combination of the two. And don't be afraid to use the jacket and pants as separates—we do it all the time.","https://bonobos.com/products/the-foundation-chambray-suit-jacket","42R","Slim"
"Stretch Washed Chinos","Stretch Washed Chinos","15175-KH099-32X32","Stretch Washed Chinos","Millstones",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","32X32","Tailored"
"Stretch Washed Chinos","Stretch Washed Chinos","14870-BLT27-31X32","Stretch Washed Chinos","Evening Shades",68,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","31X32","Slim"
"Stretch Washed Chinos","Stretch Washed Chinos","14870-BK438-29X32","Stretch Washed Chinos","Jet Blacks",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","29X32","Slim"
"Stretch Washed Chinos","Stretch Washed Chinos","14870-BLZ90-30X32","Stretch Washed Chinos","Sky Highs",48,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","30X32","Slim"
"Jetsetter Core Suit Pants","Jetsetter Core Suit Pants","19650-BLH06-33X37UH","Jetsetter Stretch Wool Suit Pant","Light Navy",200,"https://bonobos.com/products/jetsetter-stretch-wool-suit-pant",,"What happens when first-class comfort meets a world-class fit? Something incredible. Something we like to call ""The Jetsetter."" It's a versatile four-season wool suit with a hint of stretch, and a signature passport pocket inside the jacket. It will keep its razor-sharp silhouette whenever you need it, and bounce back from whatever comes your way. At this price, it is an ideal ""first suit"" for those just starting out, but it's equally appropriate for the experienced sartorialist. Whether it's a long flight overseas, or simply a busy week at the office, the Jetsetter will always stay in top form. Simply put, it is a wardrobe essential—the versatile, all-purpose suit that can recover and perform after just about anything.","https://bonobos.com/products/jetsetter-stretch-wool-suit-pant","33X37UH","Tailored"
"DG - Basic","DG - Basic","21836-PR168-15X34","Daily Grind Wrinkle Free Dress Shirt","Light Purple Gingham",98,"https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt","Soft, tailored cotton resistant to wrinkles & machine washable.","Dressing for work isn't rocket science. It's really about looking your best without spending a ton of time doing so. Which is why the Daily Grinds come in so handy. Simply stated, these dress shirts are crafted and tailored never to wrinkle. Utilizing wrinkle-free technology, they can be washed and worn with minimal ironing, and they will maintain their rich color and crisp appearance. You won’t just be looking great and worrying less, you’ll be saving time, money, and energy over the long life of your Daily Grind shirts. And did we mention looking great? Oh. We did.","https://bonobos.com/products/daily-grind-wrinkle-free-dress-shirt","15X34","Tailored"
"The Blue Jean","The Blue Jean","19513-BLJ89-35X36","The Blue Jean","Superior Dark Wash",98,"https://bonobos.com/products/blue-jean","Perfectly broken-in with a hint of stretch. Made for everyday wear.","We all have that favorite pair of jeans. That treasured, perfectly broken-in pair of denim that we wear a little more than we should. And that's exactly what we set out to recreate. Made from premium denim with a curved waistband and a hint of comfortable stretch, these aren't just a pair of blue jeans. They're THE Blue Jean, and once you put them on, you won't want to take them off anytime soon.","https://bonobos.com/products/blue-jean","35X36","Tailored"
"The Blue Jean","The Blue Jean","19514-BMC89-36X30","The Blue Jean","Atalanta Medium Wash",98,"https://bonobos.com/products/blue-jean","Perfectly broken-in with a hint of stretch. Made for everyday wear.","We all have that favorite pair of jeans. That treasured, perfectly broken-in pair of denim that we wear a little more than we should. And that's exactly what we set out to recreate. Made from premium denim with a curved waistband and a hint of comfortable stretch, these aren't just a pair of blue jeans. They're THE Blue Jean, and once you put them on, you won't want to take them off anytime soon.","https://bonobos.com/products/blue-jean","36X30","Athletic"
